iter	Passed	Remaining
0	160	160686
1	161	80536
2	161	53837
3	162	40458
4	162	32426
5	163	27070
6	163	23250
7	164	20383
8	164	18150
9	165	16363
10	165	14902
11	166	13684
12	166	12653
13	167	11796
14	168	11051
15	169	10399
16	169	9824
17	170	9311
18	171	8847
19	171	8427
20	172	8046
21	173	7700
22	173	7383
23	174	7092
24	174	6824
25	175	6580
26	176	6347
27	176	6130
28	177	5928
29	177	5739
30	177	5563
31	178	5397
32	178	5242
33	179	5096
34	179	4958
35	180	4827
36	180	4704
37	181	4586
38	181	4475
39	182	4369
40	182	4269
41	183	4174
42	183	4084
43	183	3996
44	184	3913
45	184	3834
46	185	3757
47	185	3684
48	186	3618
49	186	3551
50	187	3487
51	187	3424
52	188	3365
53	188	3307
54	189	3251
55	189	3197
56	190	3147
57	190	3097
58	191	3049
59	191	3003
60	192	2957
61	192	2913
62	193	2870
63	193	2829
64	193	2789
65	194	2750
66	194	2712
67	195	2673
68	195	2637
69	195	2603
70	196	2569
71	196	2536
72	197	2505
73	197	2474
74	198	2444
75	198	2415
76	199	2386
77	199	2358
78	199	2331
79	200	2305
80	200	2279
81	201	2254
82	201	2229
83	202	2205
84	202	2180
85	203	2157
86	203	2133
87	203	2111
88	204	2090
89	204	2069
90	205	2050
91	205	2030
92	206	2010
93	206	1991
94	207	1972
95	207	1954
96	207	1936
97	208	1918
98	208	1900
99	209	1883
100	209	1867
101	210	1849
102	210	1833
103	210	1817
104	211	1802
105	211	1787
106	212	1772
107	212	1757
108	213	1742
109	213	1728
110	214	1714
111	214	1702
112	215	1689
113	215	1676
114	216	1663
115	216	1649
116	216	1637
117	217	1624
118	217	1611
119	218	1599
120	218	1588
121	219	1576
122	219	1563
123	219	1552
124	220	1541
125	220	1530
126	221	1520
127	221	1508
128	221	1498
129	222	1488
130	222	1478
131	223	1468
132	223	1458
133	224	1448
134	224	1439
135	225	1429
136	225	1420
137	225	1410
138	226	1401
139	226	1392
140	227	1384
141	227	1375
142	228	1366
143	228	1358
144	228	1350
145	229	1342
146	230	1334
147	230	1326
148	230	1319
149	231	1311
150	231	1303
151	232	1296
152	232	1288
153	233	1281
154	233	1274
155	234	1266
156	234	1259
157	235	1252
158	235	1246
159	236	1239
160	236	1232
161	236	1225
162	237	1219
163	237	1212
164	238	1206
165	238	1199
166	239	1193
167	239	1186
168	240	1180
169	240	1174
170	241	1168
171	241	1162
172	241	1156
173	242	1150
174	242	1145
175	243	1139
176	243	1133
177	244	1128
178	244	1122
179	245	1117
180	245	1110
181	245	1105
182	246	1099
183	246	1094
184	247	1089
185	247	1083
186	248	1078
187	248	1073
188	249	1068
189	249	1063
190	249	1058
191	250	1053
192	250	1049
193	251	1044
194	251	1039
195	252	1035
196	252	1030
197	253	1025
198	253	1020
199	254	1016
200	254	1011
201	254	1007
202	255	1002
203	255	998
204	256	994
205	256	989
206	257	985
207	257	981
208	258	978
209	259	974
210	259	970
211	260	966
212	260	962
213	261	958
214	261	954
215	261	950
216	262	946
217	262	942
218	263	938
219	263	935
220	264	931
221	264	927
222	265	923
223	265	920
224	266	916
225	266	912
226	267	909
227	267	905
228	267	901
229	268	898
230	268	894
231	269	891
232	269	887
233	270	884
234	270	880
235	270	877
236	271	874
237	272	871
238	272	868
239	273	865
240	273	861
241	274	858
242	274	855
243	275	852
244	275	848
245	275	845
246	276	842
247	276	839
248	277	836
249	277	833
250	278	830
251	278	827
252	279	824
253	279	820
254	279	817
255	280	815
256	281	812
257	281	809
258	282	806
259	282	803
260	282	801
261	283	798
262	283	795
263	284	792
264	284	789
265	285	786
266	285	784
267	286	781
268	286	778
269	287	776
270	287	773
271	287	770
272	288	767
273	288	765
274	289	762
275	289	760
276	290	757
277	290	754
278	291	752
279	291	749
280	292	747
281	292	744
282	292	742
283	293	739
284	293	737
285	294	734
286	294	732
287	295	729
288	295	727
289	296	725
290	296	722
291	297	720
292	297	717
293	297	715
294	298	713
295	298	710
296	299	708
297	299	706
298	300	704
299	300	701
300	301	699
301	301	697
302	302	694
303	302	692
304	302	690
305	303	688
306	303	685
307	304	683
308	304	681
309	305	679
310	305	677
311	306	675
312	306	672
313	307	670
314	307	668
315	307	666
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	310	653
322	311	652
323	311	650
324	311	647
325	312	645
326	312	644
327	313	642
328	313	640
329	314	638
330	315	636
331	315	634
332	315	632
333	316	630
334	316	628
335	317	627
336	317	625
337	318	623
338	318	621
339	319	619
340	319	617
341	320	615
342	320	613
343	320	612
344	321	610
345	321	608
346	322	606
347	322	604
348	323	602
349	323	600
350	324	599
351	324	597
352	324	595
353	325	593
354	325	592
355	326	590
356	326	588
357	327	586
358	327	585
359	328	583
360	328	581
361	329	580
362	330	579
363	330	578
364	331	576
365	332	575
366	332	573
367	333	572
368	333	570
369	334	569
370	335	568
371	336	567
372	336	565
373	337	564
374	337	563
375	338	562
376	339	561
377	340	559
378	340	558
379	341	557
380	341	555
381	342	554
382	343	552
383	343	551
384	344	550
385	344	548
386	345	547
387	345	545
388	346	544
389	347	542
390	347	541
391	348	540
392	348	538
393	349	537
394	349	535
395	350	534
396	350	532
397	351	531
398	351	530
399	352	528
400	353	527
401	353	526
402	354	524
403	354	523
404	355	521
405	355	520
406	356	519
407	357	519
408	358	518
409	359	517
410	366	525
411	367	524
412	368	523
413	369	522
414	370	522
415	383	538
416	384	537
417	385	536
418	386	535
419	387	535
420	390	537
421	391	536
422	394	537
423	395	537
424	397	537
425	398	536
426	398	535
427	399	534
428	400	532
429	400	531
430	401	529
431	401	528
432	402	526
433	404	526
434	404	525
435	406	525
436	407	525
437	408	523
438	408	522
439	409	521
440	410	520
441	411	519
442	411	517
443	412	516
444	413	515
445	414	514
446	415	513
447	416	512
448	416	511
449	419	512
450	422	514
451	423	513
452	424	512
453	425	511
454	426	510
455	426	509
456	427	508
457	428	507
458	429	506
459	430	505
460	431	504
461	432	503
462	433	502
463	442	511
464	443	510
465	444	509
466	445	508
467	446	507
468	447	506
469	451	509
470	452	508
471	453	507
472	454	506
473	455	505
474	456	504
475	457	503
476	457	501
477	458	500
478	459	499
479	460	498
480	461	497
481	462	496
482	462	495
483	464	494
484	465	493
485	467	494
486	468	493
487	469	492
488	470	491
489	471	490
490	471	489
491	472	488
492	473	487
493	474	485
494	475	484
495	476	483
496	476	482
497	477	481
498	478	480
499	480	480
500	481	479
501	482	478
502	483	477
503	484	476
504	485	476
505	486	474
506	487	473
507	487	472
508	488	471
509	489	469
510	489	468
511	490	467
512	490	465
513	491	464
514	491	463
515	492	461
516	493	460
517	493	459
518	494	458
519	494	456
520	495	455
521	495	454
522	496	452
523	496	451
524	497	450
525	497	448
526	498	447
527	498	446
528	499	444
529	499	443
530	500	441
531	500	440
532	501	439
533	501	438
534	502	436
535	503	435
536	503	434
537	504	432
538	504	431
539	504	430
540	505	428
541	505	427
542	506	426
543	506	424
544	507	423
545	507	422
546	508	421
547	508	419
548	509	418
549	510	417
550	510	416
551	511	414
552	511	413
553	512	412
554	512	410
555	513	409
556	513	408
557	514	407
558	514	405
559	515	404
560	515	403
561	515	402
562	516	400
563	517	399
564	517	398
565	518	397
566	518	396
567	519	394
568	519	393
569	520	392
570	520	391
571	520	389
572	521	388
573	521	387
574	522	386
575	522	384
576	523	383
577	523	382
578	524	381
579	524	380
580	525	378
581	525	377
582	526	376
583	526	375
584	527	374
585	527	372
586	528	371
587	528	370
588	529	369
589	529	368
590	530	366
591	531	366
592	532	365
593	533	364
594	533	363
595	534	362
596	534	360
597	535	359
598	535	358
599	536	357
600	536	356
601	537	355
602	537	353
603	538	352
604	538	351
605	539	350
606	539	349
607	540	348
608	541	347
609	541	346
610	542	345
611	542	344
612	543	342
613	543	341
614	544	340
615	544	339
616	545	338
617	545	337
618	546	336
619	546	335
620	547	333
621	547	332
622	548	331
623	548	330
624	549	329
625	549	328
626	549	327
627	550	326
628	550	324
629	551	323
630	551	322
631	552	321
632	552	320
633	553	319
634	553	318
635	554	317
636	554	316
637	555	315
638	555	313
639	556	312
640	556	311
641	557	310
642	557	309
643	558	308
644	558	307
645	559	306
646	559	305
647	560	304
648	560	303
649	561	302
650	561	301
651	562	300
652	562	299
653	563	297
654	563	296
655	564	295
656	564	294
657	565	293
658	565	292
659	565	291
660	566	290
661	566	289
662	567	288
663	567	287
664	568	286
665	568	285
666	569	284
667	569	283
668	570	282
669	570	281
670	571	280
671	571	279
672	572	278
673	572	277
674	573	276
675	574	275
676	574	274
677	575	273
678	575	272
679	576	271
680	577	270
681	577	269
682	578	268
683	578	267
684	579	266
685	579	265
686	580	264
687	580	263
688	581	262
689	581	261
690	582	260
691	582	259
692	583	258
693	583	257
694	584	256
695	584	255
696	585	254
697	585	253
698	586	252
699	586	251
700	587	250
701	587	249
702	588	248
703	588	247
704	589	246
705	589	245
706	590	244
707	590	243
708	591	242
709	591	241
710	591	240
711	592	239
712	592	238
713	593	237
714	593	236
715	594	235
716	594	234
717	595	233
718	595	232
719	596	231
720	596	230
721	597	230
722	597	229
723	598	228
724	598	227
725	599	226
726	599	225
727	600	224
728	600	223
729	601	222
730	601	221
731	602	220
732	602	219
733	603	218
734	603	217
735	604	216
736	604	215
737	605	214
738	605	214
739	606	213
740	606	212
741	607	211
742	607	210
743	608	209
744	608	208
745	609	207
746	609	206
747	610	205
748	610	204
749	611	203
750	611	202
751	612	201
752	612	201
753	613	200
754	613	199
755	614	198
756	614	197
757	615	196
758	615	195
759	616	194
760	616	193
761	617	192
762	617	191
763	618	191
764	618	190
765	619	189
766	619	188
767	620	187
768	620	186
769	621	185
770	621	184
771	622	183
772	623	182
773	623	182
774	624	181
775	624	180
776	625	179
777	625	178
778	626	177
779	626	176
780	627	175
781	627	174
782	628	174
783	628	173
784	629	172
785	629	171
786	630	170
787	630	169
788	631	168
789	631	167
790	632	167
791	632	166
792	633	165
793	633	164
794	634	163
795	634	162
796	635	161
797	635	160
798	636	160
799	636	159
800	636	158
801	637	157
802	637	156
803	638	155
804	638	154
805	639	153
806	639	153
807	640	152
808	640	151
809	641	150
810	641	149
811	642	148
812	642	147
813	643	146
814	643	146
815	644	145
816	644	144
817	645	143
818	645	142
819	646	141
820	646	140
821	647	140
822	647	139
823	648	138
824	648	137
825	649	136
826	649	135
827	649	135
828	650	134
829	650	133
830	651	132
831	651	131
832	652	130
833	652	129
834	653	129
835	653	128
836	654	127
837	654	126
838	655	125
839	655	124
840	656	124
841	656	123
842	657	122
843	657	121
844	658	120
845	659	120
846	659	119
847	660	118
848	660	117
849	661	116
850	661	115
851	662	115
852	662	114
853	663	113
854	663	112
855	664	111
856	664	110
857	665	110
858	665	109
859	666	108
860	666	107
861	667	106
862	667	105
863	668	105
864	668	104
865	669	103
866	669	102
867	670	101
868	670	101
869	670	100
870	671	99
871	671	98
872	672	97
873	672	97
874	673	96
875	673	95
876	674	94
877	674	93
878	675	92
879	675	92
880	676	91
881	676	90
882	677	89
883	677	88
884	678	88
885	678	87
886	679	86
887	679	85
888	680	84
889	680	84
890	681	83
891	681	82
892	682	81
893	682	80
894	682	80
895	683	79
896	683	78
897	684	77
898	684	76
899	685	76
900	685	75
901	686	74
902	687	73
903	687	73
904	688	72
905	688	71
906	689	70
907	689	69
908	690	69
909	690	68
910	691	67
911	691	66
912	692	65
913	692	65
914	693	64
915	693	63
916	694	62
917	694	62
918	695	61
919	695	60
920	696	59
921	696	58
922	697	58
923	697	57
924	698	56
925	698	55
926	699	55
927	699	54
928	700	53
929	700	52
930	701	51
931	701	51
932	702	50
933	703	49
934	703	48
935	704	48
936	704	47
937	705	46
938	706	45
939	706	45
940	707	44
941	707	43
942	708	42
943	708	42
944	709	41
945	709	40
946	710	39
947	710	38
948	711	38
949	711	37
950	711	36
951	712	35
952	712	35
953	713	34
954	713	33
955	714	32
956	714	32
957	715	31
958	715	30
959	716	29
960	716	29
961	717	28
962	717	27
963	718	26
964	718	26
965	719	25
966	719	24
967	720	23
968	720	23
969	721	22
970	721	21
971	722	20
972	722	20
973	723	19
974	723	18
975	723	17
976	724	17
977	724	16
978	725	15
979	725	14
980	726	14
981	726	13
982	727	12
983	727	11
984	728	11
985	728	10
986	729	9
987	729	8
988	730	8
989	731	7
990	731	6
991	732	5
992	732	5
993	733	4
994	733	3
995	733	2
996	734	2
997	734	1
998	735	0
999	735	0
