iter	Passed	Remaining
0	1	1785
1	6	3159
2	7	2560
3	9	2246
4	10	2063
5	11	1914
6	12	1841
7	14	1786
8	15	1679
9	15	1583
10	16	1523
11	22	1817
12	22	1722
13	23	1651
14	24	1594
15	24	1525
16	25	1461
17	25	1406
18	26	1363
19	27	1327
20	27	1298
21	28	1266
22	29	1236
23	29	1206
24	30	1177
25	30	1149
26	31	1122
27	31	1098
28	32	1075
29	32	1054
30	33	1035
31	36	1114
32	37	1097
33	38	1082
34	38	1069
35	39	1054
36	40	1042
37	43	1096
38	44	1087
39	44	1071
40	45	1056
41	45	1042
42	46	1030
43	46	1018
44	47	1009
45	48	998
46	51	1048
47	52	1044
48	53	1039
49	54	1028
50	54	1016
51	55	1008
52	56	1005
53	57	1000
54	58	1004
55	59	997
56	60	996
57	60	988
58	61	980
59	62	972
60	62	964
61	63	960
62	66	981
63	66	977
64	67	968
65	67	960
66	68	952
67	68	943
68	69	940
69	70	936
70	71	933
71	71	927
72	72	923
73	73	917
74	73	911
75	74	905
76	75	899
77	75	893
78	76	886
79	76	881
80	77	875
81	77	870
82	78	863
83	78	858
84	80	863
85	81	863
86	81	860
87	82	855
88	83	850
89	83	846
90	84	843
91	85	839
92	85	835
93	86	831
94	86	825
95	87	821
96	87	816
97	88	811
98	88	806
99	89	801
100	89	797
101	90	793
102	90	791
103	91	788
104	92	786
105	92	782
106	93	778
107	95	788
108	96	786
109	96	782
110	97	781
111	98	781
112	99	779
113	99	776
114	100	773
115	100	769
116	101	765
117	101	761
118	102	757
119	102	754
120	103	750
121	103	746
122	104	744
123	104	741
124	105	739
125	106	737
126	106	734
127	107	731
128	107	727
129	108	724
130	109	728
131	111	732
132	112	731
133	112	729
134	113	726
135	114	728
136	115	726
137	115	723
138	116	720
139	116	717
140	117	715
141	117	712
142	118	711
143	119	708
144	119	706
145	120	703
146	120	700
147	121	697
148	121	694
149	122	692
150	125	704
151	126	704
152	126	702
153	127	701
154	128	700
155	129	698
156	129	696
157	130	694
158	130	691
159	131	689
160	131	685
161	132	683
162	132	681
163	133	678
164	133	678
165	134	675
166	134	673
167	135	670
168	135	668
169	136	666
170	136	663
171	137	663
172	141	674
173	142	674
174	142	671
175	143	669
176	143	667
177	143	664
178	144	662
179	144	660
180	145	658
181	146	656
182	146	655
183	147	653
184	147	651
185	148	649
186	148	647
187	149	645
188	149	643
189	150	641
190	150	639
191	151	637
192	151	635
193	152	633
194	154	638
195	155	638
196	156	637
197	157	636
198	157	634
199	157	631
200	158	630
201	158	628
202	159	626
203	160	624
204	160	623
205	161	622
206	162	620
207	162	619
208	163	617
209	163	615
210	164	613
211	164	612
212	165	610
213	165	608
214	166	606
215	166	605
216	167	603
217	168	605
218	169	605
219	170	605
220	171	603
221	171	601
222	172	600
223	172	598
224	173	596
225	173	595
226	174	593
227	174	591
228	175	590
229	175	588
230	176	586
231	176	584
232	177	583
233	177	581
234	178	579
235	178	578
236	179	576
237	179	574
238	180	573
239	180	571
240	181	570
241	181	569
242	184	574
243	185	575
244	186	573
245	186	572
246	187	570
247	187	569
248	188	567
249	188	566
250	189	564
251	189	563
252	190	561
253	190	560
254	191	558
255	191	557
256	192	556
257	193	555
258	193	553
259	194	552
260	194	550
261	195	549
262	195	548
263	196	547
264	196	545
265	197	544
266	199	547
267	200	546
268	200	545
269	201	543
270	201	542
271	202	541
272	202	539
273	203	538
274	203	536
275	204	535
276	204	534
277	205	532
278	205	531
279	206	530
280	206	528
281	207	527
282	207	525
283	208	524
284	208	523
285	209	522
286	209	520
287	210	519
288	210	518
289	211	517
290	211	516
291	212	515
292	214	518
293	215	517
294	216	517
295	216	515
296	217	514
297	218	513
298	218	512
299	219	511
300	219	510
301	220	508
302	220	507
303	221	506
304	221	505
305	222	503
306	222	502
307	223	501
308	223	500
309	224	499
310	225	498
311	225	497
312	226	496
313	226	495
314	227	494
315	227	493
316	229	493
317	229	493
318	230	491
319	230	490
320	231	489
321	231	488
322	232	486
323	232	485
324	233	484
325	233	483
326	234	482
327	234	481
328	235	480
329	235	478
330	236	477
331	237	476
332	237	475
333	238	474
334	238	473
335	239	472
336	239	471
337	240	470
338	240	469
339	241	467
340	241	466
341	243	467
342	244	468
343	245	467
344	246	467
345	246	466
346	247	465
347	247	464
348	248	463
349	248	461
350	249	460
351	249	459
352	251	460
353	251	459
354	252	457
355	252	456
356	253	455
357	253	454
358	254	453
359	254	452
360	255	451
361	255	450
362	256	449
363	256	448
364	257	447
365	259	449
366	259	448
367	260	447
368	261	447
369	262	446
370	262	445
371	263	444
372	263	443
373	264	442
374	264	441
375	265	440
376	265	439
377	266	438
378	266	437
379	267	436
380	267	435
381	268	434
382	268	433
383	269	432
384	269	431
385	270	430
386	270	429
387	271	428
388	271	427
389	273	427
390	274	426
391	274	426
392	275	425
393	275	424
394	276	423
395	276	422
396	277	421
397	277	420
398	278	419
399	278	418
400	279	417
401	279	416
402	280	415
403	280	414
404	281	413
405	281	412
406	282	411
407	282	410
408	283	409
409	283	408
410	284	407
411	284	406
412	285	405
413	285	404
414	286	403
415	286	402
416	288	402
417	289	402
418	289	401
419	290	400
420	290	399
421	291	399
422	292	398
423	292	397
424	293	397
425	294	396
426	294	395
427	295	395
428	296	394
429	296	393
430	297	392
431	297	391
432	298	390
433	298	389
434	299	388
435	299	387
436	300	387
437	301	386
438	301	385
439	302	384
440	304	385
441	304	384
442	305	384
443	307	384
444	308	384
445	309	383
446	309	383
447	310	382
448	310	381
449	311	380
450	311	379
451	312	378
452	312	377
453	313	376
454	313	375
455	314	374
456	314	373
457	315	373
458	315	372
459	316	371
460	316	370
461	317	369
462	319	370
463	319	369
464	320	369
465	321	368
466	322	367
467	322	367
468	323	366
469	324	365
470	324	364
471	325	363
472	325	362
473	326	361
474	326	360
475	326	359
476	327	359
477	327	358
478	328	357
479	328	356
480	329	355
481	329	354
482	330	353
483	330	352
484	331	351
485	332	351
486	333	351
487	334	350
488	334	349
489	335	349
490	335	348
491	336	347
492	336	346
493	337	345
494	338	344
495	338	344
496	339	343
497	339	342
498	340	341
499	340	340
500	341	339
501	341	338
502	342	337
503	342	337
504	343	336
505	343	335
506	344	334
507	344	333
508	345	333
509	345	332
510	346	331
511	346	330
512	348	330
